epoch,g2,g3,g4,g5
1,0.099116,0.099543,0.100100,0.100098
2,0.098488,0.099663,0.099378,0.099383
3,0.097831,0.099583,0.099043,0.098876
4,0.097442,0.099498,0.098673,0.098587
5,0.097536,0.099430,0.098160,0.098180
6,0.097728,0.099300,0.098001,0.097973
7,0.097732,0.099332,0.097570,0.097920
8,0.097718,0.099394,0.097128,0.097814
9,0.097373,0.099361,0.096792,0.097494
10,0.097614,0.099283,0.096404,0.097331
11,0.097476,0.099368,0.095864,0.097185
12,0.097590,0.099349,0.095489,0.096871
13,0.097937,0.099413,0.095146,0.096647
14,0.097842,0.099449,0.095069,0.096383
15,0.097738,0.099382,0.095010,0.096221
16,0.098251,0.099464,0.094836,0.096100
17,0.097771,0.099424,0.094639,0.095814
18,0.097710,0.099492,0.094740,0.095331
19,0.097976,0.099537,0.094760,0.094949
20,0.097888,0.099507,0.094593,0.094772
21,0.097905,0.099564,0.094478,0.094664
22,0.097877,0.099621,0.093818,0.094459
23,0.097970,0.099763,0.093858,0.094156
24,0.097908,0.099835,0.093810,0.093884
25,0.097361,0.099753,0.093422,0.093764
26,0.097415,0.099675,0.093390,0.093512
27,0.097566,0.099765,0.092847,0.093457
28,0.097504,0.099871,0.093022,0.093288
29,0.097606,0.099806,0.092555,0.092902
30,0.097663,0.100035,0.092199,0.092730
31,0.097776,0.100175,0.092149,0.092412
32,0.098031,0.100142,0.092004,0.092203
33,0.097789,0.100079,0.091675,0.091865
34,0.097601,0.100086,0.091688,0.091558
35,0.097550,0.100337,0.091493,0.091419
36,0.097848,0.100287,0.091768,0.091318
37,0.097734,0.100307,0.091737,0.091186
38,0.097894,0.100379,0.091501,0.091153
39,0.098085,0.100640,0.091349,0.090800
40,0.097980,0.100615,0.090974,0.090691
41,0.097920,0.100747,0.091197,0.090498
42,0.098081,0.100883,0.091244,0.090462
43,0.098210,0.100859,0.091013,0.090423
44,0.098316,0.100953,0.090928,0.090294
45,0.098559,0.101222,0.090911,0.090230
46,0.098355,0.101117,0.091346,0.090156
47,0.098227,0.101037,0.090988,0.090037
48,0.098334,0.101188,0.091120,0.089912
49,0.098326,0.101307,0.090893,0.089932
50,0.098253,0.101395,0.090852,0.089607
51,0.098038,0.101589,0.090397,0.089234
52,0.098113,0.101745,0.090277,0.089166
53,0.098016,0.101903,0.090838,0.089173
54,0.097954,0.102057,0.090687,0.089234
55,0.098050,0.102087,0.090503,0.089180
56,0.098264,0.102092,0.090221,0.088905
57,0.098181,0.102298,0.090293,0.088596
58,0.098471,0.102209,0.090302,0.088326
59,0.098264,0.102450,0.090348,0.088311
60,0.098265,0.102345,0.090099,0.088240
61,0.098523,0.102262,0.090475,0.088185
62,0.098511,0.102317,0.090665,0.088238
63,0.098444,0.102499,0.090664,0.088184
64,0.098461,0.102794,0.090787,0.088339
65,0.098321,0.102757,0.091106,0.088204
66,0.098257,0.102946,0.091059,0.088029
67,0.098275,0.103042,0.091094,0.087900
68,0.098210,0.103114,0.091438,0.087931
69,0.098428,0.103277,0.091404,0.087894
70,0.098432,0.103265,0.091311,0.087725
71,0.098562,0.103601,0.090749,0.087945
72,0.098430,0.103490,0.090849,0.087961
73,0.098245,0.103632,0.090884,0.087964
74,0.098315,0.103407,0.090628,0.088038
75,0.098770,0.103761,0.090452,0.087844
76,0.098802,0.103712,0.090533,0.087687
77,0.098513,0.103928,0.090744,0.087651
78,0.098511,0.103614,0.090727,0.087778
79,0.098499,0.103632,0.090872,0.087521
80,0.098619,0.103740,0.091119,0.087442
81,0.098451,0.104111,0.090464,0.087520
82,0.098169,0.104053,0.090293,0.087559
83,0.098377,0.104062,0.090334,0.087661
84,0.098287,0.104214,0.090922,0.087575
85,0.098564,0.104239,0.090835,0.087583
86,0.098602,0.104591,0.090981,0.087738
87,0.098562,0.104704,0.090923,0.087622
88,0.098717,0.104887,0.090564,0.087579
89,0.098635,0.104464,0.090691,0.087460
90,0.098959,0.104768,0.090512,0.087477
91,0.098713,0.104731,0.090422,0.087499
92,0.098806,0.104937,0.090643,0.087772
93,0.098672,0.105020,0.090622,0.087899
94,0.098544,0.104869,0.090559,0.087575
95,0.098443,0.104790,0.090518,0.087930
96,0.098376,0.104808,0.090553,0.087814
97,0.098493,0.105143,0.090506,0.087784
98,0.098728,0.105544,0.090567,0.087695
