epoch,g2,g3,g4,g5
1,0.099623,0.100436,0.099790,0.100113
2,0.099430,0.100324,0.099102,0.099669
3,0.099373,0.100217,0.098491,0.099268
4,0.099415,0.100148,0.097644,0.099124
5,0.099453,0.100032,0.097012,0.098801
6,0.099402,0.099868,0.096800,0.098584
7,0.099159,0.099865,0.096366,0.098416
8,0.099125,0.099863,0.095607,0.098205
9,0.099069,0.099831,0.095644,0.098012
10,0.099160,0.099815,0.095363,0.097976
11,0.099057,0.099797,0.094852,0.097879
12,0.099182,0.099742,0.094596,0.097696
13,0.098860,0.099803,0.094022,0.097570
14,0.099103,0.099870,0.093843,0.097228
15,0.099097,0.099710,0.093597,0.097021
16,0.099189,0.099631,0.093632,0.096777
17,0.099441,0.099583,0.093278,0.096616
18,0.098915,0.099509,0.092868,0.096353
19,0.098961,0.099607,0.092951,0.096205
20,0.098583,0.099449,0.092736,0.096245
21,0.098836,0.099596,0.092960,0.095924
22,0.098517,0.099572,0.092428,0.095864
23,0.098826,0.099468,0.092660,0.095731
24,0.098923,0.099511,0.092414,0.095557
25,0.098867,0.099295,0.092217,0.095390
26,0.098630,0.099279,0.092229,0.095059
27,0.098445,0.099198,0.092359,0.095042
28,0.098413,0.099282,0.092494,0.094955
29,0.098223,0.099147,0.091963,0.094650
30,0.098351,0.099125,0.091747,0.094252
31,0.098257,0.099038,0.091427,0.094207
32,0.098172,0.099083,0.091682,0.093768
33,0.098383,0.099127,0.091359,0.093590
34,0.098221,0.099247,0.091304,0.093421
35,0.097781,0.099452,0.091149,0.093421
36,0.097981,0.099638,0.091381,0.093304
37,0.098023,0.099655,0.091659,0.093212
38,0.098051,0.099573,0.091341,0.092934
39,0.097959,0.099390,0.091390,0.092886
40,0.097980,0.099542,0.091330,0.092472
41,0.097976,0.099488,0.091250,0.092478
42,0.097684,0.099657,0.091087,0.092436
43,0.097789,0.099723,0.090976,0.092346
44,0.097844,0.100021,0.091034,0.091874
45,0.097569,0.100168,0.090935,0.091856
46,0.097827,0.100242,0.090638,0.091705
47,0.097665,0.100325,0.090469,0.091603
48,0.097581,0.100369,0.090641,0.091639
49,0.097817,0.100229,0.090624,0.091605
50,0.097834,0.100371,0.090773,0.091227
51,0.097831,0.100241,0.090517,0.090828
52,0.097776,0.099930,0.090833,0.090739
53,0.097738,0.100046,0.090797,0.090724
54,0.097776,0.100167,0.090683,0.090419
55,0.098088,0.100263,0.090559,0.090460
56,0.098022,0.100253,0.090212,0.090188
57,0.098250,0.099866,0.090082,0.090121
58,0.098005,0.099948,0.090205,0.089772
59,0.098165,0.100158,0.090643,0.089811
60,0.098158,0.100393,0.090506,0.089555
61,0.098114,0.100342,0.090226,0.089412
