epoch,g2,g3,g4,g5
1,0.100421,0.100015,0.100199,0.100476
2,0.100483,0.099469,0.097822,0.096442
3,0.100876,0.098866,0.093385,0.087622
4,0.100832,0.098963,0.087395,0.081400
5,0.101187,0.098688,0.084384,0.070323
6,0.101220,0.098527,0.081934,0.065133
7,0.101440,0.098496,0.081148,0.060989
8,0.101456,0.098252,0.079110,0.054379
9,0.101526,0.098410,0.076773,0.054119
10,0.101674,0.098712,0.073525,0.045862
11,0.101695,0.098667,0.076041,0.046310
12,0.101881,0.097811,0.073167,0.043738
13,0.101787,0.098377,0.071494,0.040429
14,0.101952,0.098084,0.066903,0.037786
15,0.101880,0.098515,0.065759,0.035193
16,0.102017,0.098564,0.066132,0.036684
17,0.102114,0.098091,0.064563,0.035065
18,0.102217,0.098329,0.065202,0.033260
19,0.102221,0.097649,0.061765,0.029789
20,0.102459,0.098118,0.062071,0.031524
21,0.102264,0.099247,0.063678,0.034191
22,0.102350,0.098836,0.061063,0.032061
23,0.102421,0.099413,0.057136,0.027946
24,0.102532,0.099566,0.058999,0.029273
25,0.102383,0.099475,0.059874,0.030039
26,0.102673,0.099255,0.055401,0.026879
27,0.102741,0.099598,0.059578,0.025625
28,0.102784,0.099826,0.059532,0.026061
29,0.102611,0.099894,0.057479,0.026775
30,0.102836,0.099500,0.054990,0.024386
31,0.102706,0.099896,0.053923,0.024912
32,0.102838,0.099645,0.051895,0.025739
33,0.102911,0.100245,0.055383,0.025139
34,0.103107,0.098930,0.051979,0.021787
35,0.102837,0.101599,0.054397,0.024694
36,0.103082,0.099783,0.052028,0.023858
37,0.103217,0.099505,0.049240,0.022253
38,0.103088,0.100018,0.059102,0.023548
39,0.103165,0.099842,0.058107,0.022053
40,0.103202,0.100577,0.053075,0.020192
41,0.103289,0.099323,0.052358,0.021971
42,0.103355,0.098502,0.048827,0.021009
43,0.103230,0.100124,0.047836,0.022899
44,0.103327,0.099712,0.044690,0.020244
45,0.103306,0.099816,0.048271,0.022135
46,0.103237,0.099425,0.046100,0.018120
47,0.103462,0.099656,0.042765,0.018118
48,0.103382,0.098421,0.045636,0.018955
49,0.103253,0.100245,0.047502,0.019013
50,0.103487,0.100360,0.042319,0.019247
51,0.103601,0.100365,0.047196,0.018085
52,0.103625,0.099715,0.046404,0.020408
53,0.103789,0.098698,0.043153,0.017671
54,0.103614,0.101597,0.042965,0.018314
55,0.103923,0.099407,0.048191,0.018606
56,0.103817,0.101106,0.044852,0.019439
57,0.103994,0.098875,0.043059,0.017888
58,0.103888,0.101547,0.045104,0.018376
59,0.103893,0.099793,0.039365,0.018830
60,0.103863,0.100658,0.043142,0.020905
61,0.103956,0.100356,0.041503,0.017794
62,0.103929,0.101530,0.042277,0.017509
63,0.104153,0.098690,0.040835,0.017290
64,0.103984,0.101936,0.044185,0.019373
65,0.104119,0.100504,0.041249,0.016749
66,0.104039,0.101407,0.040041,0.017539
67,0.104122,0.101002,0.037733,0.017025
68,0.104254,0.100572,0.044389,0.018277
69,0.104153,0.101401,0.042296,0.019678
70,0.104249,0.100950,0.041711,0.020201
71,0.104389,0.099876,0.042949,0.018357
72,0.104304,0.101329,0.040451,0.018102
73,0.104612,0.100190,0.040477,0.016850
74,0.104438,0.100615,0.040890,0.018182
75,0.104254,0.101747,0.041135,0.018179
76,0.104645,0.101349,0.041558,0.015748
77,0.104679,0.100474,0.039725,0.020403
78,0.104450,0.100514,0.037630,0.015666
79,0.104739,0.101389,0.040771,0.016715
80,0.104752,0.101711,0.040947,0.015453
81,0.104555,0.101627,0.040802,0.016363
82,0.104460,0.102624,0.038539,0.016343
83,0.104922,0.099000,0.037085,0.015235
84,0.104621,0.099814,0.036439,0.015225
85,0.104624,0.102293,0.038069,0.015873
86,0.104860,0.102946,0.036694,0.015700
87,0.104916,0.100291,0.035196,0.016615
88,0.105011,0.098686,0.034918,0.016250
89,0.105014,0.102383,0.038061,0.016690
90,0.104996,0.102285,0.035210,0.015309
91,0.105076,0.102901,0.038503,0.019230
92,0.105216,0.101255,0.034892,0.018413
93,0.105075,0.103311,0.036789,0.016785
94,0.105270,0.103504,0.036396,0.016944
95,0.105237,0.103856,0.035144,0.014018
96,0.105470,0.102225,0.037651,0.017970
97,0.105364,0.104332,0.033473,0.014797
98,0.105498,0.104093,0.037772,0.018452
99,0.105326,0.102761,0.032776,0.015202
100,0.105725,0.103042,0.037411,0.016591
101,0.105391,0.101742,0.035137,0.015376
102,0.105323,0.103755,0.033908,0.015161
103,0.105502,0.103524,0.035132,0.018692
104,0.105671,0.104097,0.033989,0.015202
105,0.105554,0.105000,0.035544,0.016922
106,0.105564,0.104391,0.036188,0.016239
107,0.105984,0.103475,0.037015,0.018483
108,0.105865,0.104013,0.038427,0.019304
109,0.106201,0.101332,0.034398,0.016017
110,0.106166,0.102836,0.034821,0.018664
111,0.105990,0.103475,0.033489,0.018330
112,0.106210,0.102683,0.033950,0.016689
113,0.106128,0.102132,0.033733,0.017342
114,0.105891,0.104389,0.036103,0.017110
115,0.105702,0.105095,0.033001,0.016429
116,0.106016,0.103582,0.031831,0.016564
117,0.106110,0.102412,0.033590,0.016643
118,0.106043,0.101949,0.033440,0.015714
119,0.106108,0.103116,0.032350,0.015128
120,0.106108,0.103055,0.033204,0.016042
121,0.106440,0.100239,0.034384,0.017392
122,0.106225,0.102096,0.035082,0.020458
123,0.106105,0.104549,0.033716,0.017744
124,0.106261,0.102477,0.033509,0.017877
125,0.106454,0.102217,0.032822,0.017517
126,0.106163,0.103696,0.035347,0.017646
127,0.106395,0.101809,0.034590,0.017294
128,0.106166,0.100038,0.030929,0.015281
129,0.106261,0.100999,0.034063,0.017230
130,0.106366,0.102086,0.034119,0.019148
131,0.106409,0.102263,0.033006,0.019618
132,0.105816,0.102909,0.031452,0.017049
133,0.106404,0.102712,0.034238,0.017815
134,0.106124,0.103466,0.033405,0.017861
135,0.106463,0.102232,0.031928,0.018083
136,0.106148,0.102580,0.030806,0.019058
137,0.106213,0.103418,0.034524,0.019411
138,0.106735,0.102321,0.033139,0.019960
139,0.106626,0.101978,0.032792,0.017097
140,0.106861,0.103019,0.032739,0.016396
141,0.106735,0.102585,0.033403,0.020051
142,0.106993,0.102537,0.034379,0.019924
143,0.107132,0.100375,0.033023,0.019968
144,0.106929,0.101279,0.034226,0.021358
145,0.107184,0.100685,0.032603,0.018522
146,0.107068,0.102416,0.033684,0.019694
147,0.107137,0.101162,0.036236,0.020792
148,0.107298,0.101364,0.035917,0.020370
149,0.107268,0.101181,0.035333,0.021231
150,0.107156,0.102012,0.033991,0.020140
151,0.107154,0.101501,0.036102,0.020463
152,0.107295,0.101159,0.035857,0.020482
153,0.107234,0.101395,0.034975,0.019675
154,0.107516,0.100523,0.034336,0.022044
155,0.107241,0.102552,0.035208,0.022809
156,0.107428,0.102084,0.035236,0.023753
157,0.107402,0.101497,0.033099,0.022082
158,0.107458,0.102238,0.034180,0.022742
159,0.107311,0.100972,0.035216,0.023123
160,0.106886,0.103244,0.033355,0.020031
161,0.107477,0.101963,0.032049,0.019242
162,0.107520,0.101649,0.032914,0.021327
163,0.107408,0.101911,0.034391,0.021038
164,0.107111,0.103289,0.035646,0.022261
165,0.107518,0.101815,0.034364,0.022956
166,0.107456,0.102771,0.034697,0.024485
167,0.107677,0.101831,0.035863,0.025517
168,0.107621,0.101999,0.035065,0.022470
169,0.107461,0.103308,0.036448,0.024117
170,0.107556,0.103020,0.038340,0.026223
171,0.107533,0.102637,0.035435,0.024765
172,0.107743,0.101707,0.036533,0.024878
173,0.107761,0.101557,0.035183,0.024095
174,0.107756,0.101810,0.036017,0.024861
175,0.107413,0.102669,0.035726,0.021866
176,0.107408,0.102997,0.036222,0.024894
177,0.107535,0.102618,0.037418,0.027179
178,0.107370,0.102901,0.036312,0.025518
179,0.107657,0.101697,0.035199,0.026207
180,0.107655,0.103073,0.036445,0.026107
181,0.107621,0.102642,0.035585,0.025696
182,0.107518,0.103175,0.035763,0.026374
183,0.107707,0.102360,0.037237,0.027822
184,0.107737,0.102897,0.036912,0.025394
185,0.107702,0.102459,0.036497,0.026719
186,0.107799,0.102283,0.036602,0.026911
187,0.107702,0.103222,0.037636,0.027359
188,0.107905,0.102390,0.038071,0.029831
189,0.107848,0.102533,0.039137,0.028117
190,0.107943,0.102659,0.038358,0.028251
191,0.107939,0.102730,0.038421,0.027949
192,0.107718,0.103837,0.037239,0.026727
193,0.107871,0.103034,0.036864,0.027849
194,0.107972,0.102757,0.036806,0.026578
195,0.107842,0.103631,0.037619,0.028115
196,0.108082,0.102417,0.036761,0.028690
197,0.107988,0.103123,0.038338,0.029472
198,0.108212,0.102595,0.037432,0.028118
199,0.108007,0.103670,0.037349,0.028084
200,0.108254,0.102827,0.039451,0.029731
201,0.108307,0.103307,0.039134,0.029557
202,0.108295,0.103245,0.037655,0.030047
203,0.108174,0.103874,0.037694,0.029143
204,0.107960,0.103877,0.037507,0.029540
205,0.108284,0.103163,0.038871,0.030800
206,0.107997,0.104104,0.038836,0.030514
207,0.108175,0.104239,0.040114,0.030726
208,0.108346,0.102861,0.038839,0.031699
209,0.108059,0.104216,0.039467,0.030825
210,0.108380,0.103478,0.038560,0.031839
211,0.108270,0.104451,0.039136,0.031178
212,0.108118,0.104627,0.039484,0.030469
213,0.108080,0.104448,0.039131,0.030663
214,0.108201,0.104455,0.038794,0.032962
215,0.108110,0.104629,0.038442,0.032989
216,0.108380,0.103976,0.038207,0.032540
217,0.108267,0.104216,0.039772,0.034059
218,0.108082,0.104508,0.037074,0.031413
219,0.108307,0.104006,0.038418,0.032731
220,0.108254,0.104340,0.038325,0.032122
221,0.108290,0.103589,0.039262,0.034969
222,0.108311,0.104651,0.039871,0.034930
223,0.108266,0.104923,0.038514,0.033742
224,0.108279,0.104597,0.039277,0.035559
225,0.108356,0.104578,0.039300,0.034494
226,0.108207,0.105011,0.039475,0.035243
227,0.108355,0.104315,0.039329,0.035292
228,0.108501,0.104731,0.040060,0.035069
229,0.108363,0.104588,0.040318,0.035611
230,0.108485,0.104477,0.039909,0.034917
231,0.108395,0.105040,0.040572,0.035580
232,0.108487,0.104708,0.041059,0.036807
233,0.108404,0.104626,0.040705,0.036448
234,0.108444,0.104146,0.040384,0.037207
235,0.108520,0.103934,0.040179,0.037055
236,0.108510,0.104717,0.041224,0.038329
237,0.108365,0.104655,0.040179,0.037701
238,0.108411,0.104804,0.040582,0.037518
239,0.108465,0.104331,0.039930,0.037895
240,0.108325,0.104715,0.039615,0.037489
241,0.108531,0.104306,0.040350,0.038480
242,0.108565,0.104508,0.040936,0.038091
243,0.108500,0.104605,0.040524,0.037813
244,0.108512,0.104978,0.040854,0.038943
245,0.108556,0.104416,0.040786,0.039163
246,0.108449,0.104973,0.041170,0.039698
247,0.108555,0.104674,0.041473,0.039411
248,0.108458,0.104901,0.041642,0.040127
249,0.108428,0.105222,0.040885,0.039939
250,0.108458,0.104946,0.040809,0.039890
251,0.108436,0.104560,0.040417,0.040665
252,0.108481,0.104510,0.041148,0.041405
253,0.108438,0.104929,0.040893,0.040858
254,0.108513,0.104762,0.040939,0.040447
255,0.108525,0.104580,0.040304,0.039989
256,0.108569,0.104697,0.041232,0.040655
257,0.108514,0.104867,0.040899,0.040588
258,0.108586,0.104823,0.040909,0.041047
259,0.108485,0.104890,0.040727,0.040771
260,0.108587,0.104868,0.040771,0.040565
261,0.108609,0.104817,0.041452,0.041537
262,0.108596,0.104707,0.040999,0.041485
263,0.108604,0.105074,0.041540,0.042046
264,0.108645,0.104824,0.041500,0.041719
265,0.108604,0.105009,0.041257,0.041960
266,0.108588,0.105083,0.041668,0.041691
267,0.108543,0.105171,0.041641,0.041772
268,0.108502,0.105110,0.041185,0.041038
269,0.108544,0.105003,0.041553,0.042129
270,0.108521,0.105007,0.041262,0.042029
271,0.108561,0.104942,0.041739,0.043149
272,0.108533,0.104994,0.041182,0.042469
273,0.108532,0.105121,0.041850,0.042650
274,0.108513,0.105142,0.041690,0.042994
275,0.108501,0.105008,0.041439,0.042699
276,0.108550,0.104880,0.041835,0.043064
277,0.108502,0.105083,0.041694,0.043137
278,0.108528,0.104941,0.042015,0.043738
