epoch,alpha
1,0.099882
2,0.100025
3,0.100073
4,0.100139
5,0.100154
6,0.100278
7,0.100385
8,0.100559
9,0.100745
10,0.100883
11,0.101050
12,0.101255
13,0.101546
14,0.101900
15,0.102089
16,0.102423
17,0.102640
18,0.103178
19,0.103382
20,0.103672
21,0.104044
22,0.104333
23,0.104775
24,0.105140
25,0.105621
26,0.105786
27,0.105947
28,0.106119
29,0.106823
30,0.107042
31,0.107201
32,0.107556
33,0.107858
34,0.108104
35,0.108399
36,0.108736
37,0.108973
38,0.109424
39,0.109724
40,0.109926
41,0.110041
42,0.110337
43,0.110573
44,0.110616
45,0.110962
46,0.111041
47,0.111135
48,0.111396
49,0.111465
50,0.111529
51,0.111820
52,0.111692
53,0.112097
54,0.112330
55,0.112444
56,0.112767
57,0.112859
58,0.113086
59,0.113410
60,0.113499
61,0.113574
62,0.113676
63,0.113964
64,0.114161
65,0.114233
66,0.114389
67,0.114896
68,0.114771
69,0.115216
70,0.115557
71,0.115567
72,0.115859
73,0.115955
74,0.116383
75,0.116430
76,0.116461
77,0.116813
78,0.116838
79,0.117136
80,0.117141
81,0.117553
82,0.117890
83,0.118064
84,0.118127
85,0.118266
86,0.118438
87,0.118959
88,0.118974
89,0.118974
90,0.119140
91,0.119512
92,0.119769
93,0.119935
94,0.120149
95,0.120160
96,0.120106
97,0.120123
98,0.120448
99,0.120522
100,0.120397
101,0.120579
102,0.120826
103,0.121142
104,0.121569
105,0.121600
106,0.121886
107,0.122104
108,0.122246
109,0.122236
110,0.122546
111,0.122626
112,0.122850
113,0.123209
114,0.123216
115,0.123558
116,0.123500
117,0.123760
118,0.123813
119,0.123965
120,0.124094
121,0.124270
122,0.124273
123,0.124233
124,0.124520
125,0.124642
126,0.124752
127,0.124831
128,0.124733
129,0.124991
130,0.125183
131,0.125240
132,0.125404
133,0.125440
134,0.125450
135,0.125666
136,0.125747
137,0.125845
138,0.125788
139,0.126039
140,0.126155
141,0.126366
142,0.126370
143,0.126495
144,0.126517
145,0.126646
146,0.126758
147,0.126888
148,0.127032
149,0.127176
150,0.127290
151,0.127343
152,0.127451
153,0.127487
154,0.127575
155,0.127796
156,0.127808
157,0.128042
158,0.128228
159,0.128273
160,0.128378
161,0.128244
162,0.128311
163,0.128218
164,0.128208
165,0.128357
166,0.128461
167,0.128668
168,0.128660
169,0.128790
170,0.128904
171,0.129004
172,0.129039
173,0.129197
174,0.129156
175,0.129344
176,0.129255
177,0.129354
178,0.129426
179,0.129463
180,0.129520
181,0.129444
182,0.129481
183,0.129488
184,0.129498
185,0.129620
186,0.129621
187,0.129751
188,0.129761
189,0.129863
190,0.129920
191,0.130123
192,0.130143
193,0.130200
194,0.130405
195,0.130334
196,0.130348
197,0.130387
198,0.130464
199,0.130520
200,0.130562
201,0.130601
202,0.130684
203,0.130676
204,0.130703
205,0.130783
206,0.130736
207,0.130726
208,0.130867
209,0.130903
210,0.130946
211,0.130951
212,0.130932
213,0.130970
214,0.130986
215,0.130960
216,0.131026
217,0.131095
218,0.131132
219,0.131203
220,0.131283
221,0.131343
222,0.131375
223,0.131386
224,0.131454
225,0.131474
226,0.131433
227,0.131457
228,0.131478
229,0.131530
230,0.131553
231,0.131603
232,0.131626
233,0.131612
234,0.131690
235,0.131714
236,0.131698
237,0.131720
238,0.131766
239,0.131780
240,0.131801
241,0.131868
242,0.131879
243,0.131937
244,0.131967
245,0.131937
246,0.131961
247,0.131997
248,0.131983
249,0.132008
250,0.132040
251,0.132051
252,0.132109
253,0.132156
254,0.132143
255,0.132147
256,0.132181
257,0.132215
258,0.132208
259,0.132238
260,0.132241
261,0.132251
262,0.132281
263,0.132278
264,0.132290
265,0.132293
266,0.132315
267,0.132329
268,0.132363
269,0.132377
270,0.132389
271,0.132414
272,0.132416
273,0.132429
274,0.132432
275,0.132434
276,0.132425
277,0.132436
278,0.132454
279,0.132450
280,0.132445
281,0.132445
282,0.132452
283,0.132458
284,0.132459
285,0.132460
286,0.132468
287,0.132476
288,0.132476
289,0.132476
290,0.132473
291,0.132479
292,0.132484
293,0.132486
294,0.132499
295,0.132503
296,0.132506
297,0.132504
298,0.132504
299,0.132505
300,0.132508
