epoch,g1,g2,g3,g4
1,0.100609,0.102005,0.101748,0.101153
2,0.100684,0.103934,0.103579,0.102646
3,0.100628,0.105138,0.104863,0.103775
4,0.100789,0.106069,0.105355,0.104760
5,0.100932,0.106766,0.105789,0.105713
6,0.101081,0.107254,0.106277,0.106383
7,0.101248,0.107690,0.106886,0.107467
8,0.101179,0.107942,0.107613,0.108411
9,0.101272,0.108357,0.108371,0.109696
10,0.101283,0.108487,0.109136,0.110782
11,0.101371,0.108662,0.109619,0.111462
12,0.101463,0.108643,0.110006,0.112120
13,0.101571,0.108882,0.110577,0.112800
14,0.101672,0.109045,0.110785,0.114067
15,0.101824,0.109409,0.111595,0.114808
16,0.101862,0.109607,0.111897,0.115428
17,0.101938,0.109836,0.112253,0.116064
18,0.101965,0.109960,0.112367,0.116760
19,0.102010,0.110116,0.112937,0.117263
20,0.102063,0.110468,0.113357,0.117923
21,0.102182,0.110675,0.113806,0.118907
22,0.102281,0.111016,0.114295,0.119189
23,0.102451,0.111376,0.114449,0.119994
24,0.102501,0.111409,0.114831,0.120723
25,0.102621,0.111899,0.115091,0.121021
26,0.102666,0.112164,0.115256,0.121786
27,0.102667,0.112221,0.115718,0.122361
28,0.102759,0.112905,0.115941,0.123450
29,0.102953,0.113041,0.116304,0.124257
30,0.103278,0.113373,0.116809,0.124609
31,0.103283,0.113493,0.116894,0.125231
32,0.103344,0.113726,0.117188,0.125487
33,0.103448,0.113977,0.117476,0.126194
34,0.103646,0.114272,0.117883,0.126651
35,0.103779,0.114510,0.118258,0.127112
36,0.103907,0.114484,0.118639,0.127883
37,0.103894,0.114641,0.118698,0.128343
38,0.104160,0.114599,0.119121,0.128869
39,0.104324,0.114882,0.119606,0.129287
40,0.104565,0.115120,0.119724,0.130126
41,0.104702,0.115322,0.120114,0.130294
42,0.105015,0.116067,0.120352,0.131427
43,0.105139,0.116471,0.120609,0.131758
44,0.105260,0.116869,0.121351,0.132134
45,0.105345,0.116871,0.121514,0.132894
46,0.105577,0.117196,0.121601,0.133338
47,0.105554,0.117372,0.122098,0.133583
48,0.105721,0.117941,0.122536,0.133882
49,0.105698,0.118342,0.122814,0.134198
50,0.105928,0.118604,0.122809,0.134954
51,0.106006,0.118832,0.123322,0.135554
52,0.106220,0.118802,0.123725,0.136036
53,0.106425,0.119063,0.124152,0.136045
54,0.106770,0.119070,0.124145,0.136641
55,0.106703,0.119664,0.124837,0.137174
56,0.107124,0.119598,0.124912,0.138132
57,0.106982,0.120363,0.125253,0.138469
58,0.107077,0.120538,0.125534,0.139172
59,0.107135,0.120892,0.125690,0.139911
60,0.107396,0.120692,0.125779,0.140404
61,0.107434,0.120894,0.126269,0.140848
62,0.107404,0.120964,0.126477,0.141448
63,0.107575,0.121471,0.126863,0.141542
64,0.107589,0.122259,0.126719,0.142027
65,0.107573,0.121894,0.127018,0.142442
66,0.107595,0.121936,0.127199,0.143000
67,0.107878,0.121997,0.127361,0.143562
68,0.108102,0.121852,0.127809,0.143754
69,0.108353,0.122022,0.128240,0.144179
70,0.108282,0.122426,0.128080,0.144804
71,0.108531,0.123154,0.128533,0.145249
72,0.108587,0.123259,0.128723,0.145825
73,0.108740,0.123740,0.129027,0.146015
74,0.108942,0.123818,0.129701,0.146747
75,0.108580,0.124107,0.129720,0.147055
76,0.108906,0.124178,0.130050,0.147788
77,0.109171,0.124896,0.130487,0.147927
78,0.109145,0.125050,0.130690,0.148079
79,0.109388,0.125317,0.130740,0.148316
80,0.109586,0.125101,0.131084,0.148936
81,0.109582,0.125558,0.131369,0.149475
82,0.109520,0.125740,0.131381,0.149719
83,0.109515,0.125923,0.131341,0.150218
84,0.109920,0.126179,0.131619,0.150647
85,0.109978,0.126060,0.131682,0.150532
86,0.110121,0.126542,0.131809,0.150808
87,0.110222,0.126545,0.132151,0.151254
88,0.110388,0.126880,0.132348,0.151676
89,0.110636,0.126993,0.132500,0.151794
90,0.110795,0.127207,0.132634,0.152241
91,0.110760,0.127366,0.132777,0.152344
92,0.111004,0.127355,0.133030,0.152673
93,0.111051,0.127697,0.133347,0.152854
94,0.111384,0.127716,0.133893,0.152786
95,0.111594,0.127790,0.134237,0.153081
96,0.111627,0.127867,0.134122,0.153551
97,0.111790,0.128286,0.134517,0.153377
98,0.111809,0.128301,0.134469,0.153694
99,0.111998,0.128683,0.134606,0.153962
100,0.112175,0.128978,0.134673,0.154534
101,0.112082,0.129161,0.134717,0.154912
102,0.112088,0.129344,0.135035,0.155096
103,0.112227,0.129823,0.135170,0.155466
104,0.112200,0.129875,0.135180,0.155672
105,0.112222,0.130209,0.135260,0.155723
106,0.112199,0.130528,0.135440,0.156009
107,0.112491,0.130978,0.135952,0.156213
108,0.112515,0.130875,0.135955,0.156402
109,0.112502,0.131008,0.136208,0.156762
110,0.112654,0.131404,0.136206,0.156979
111,0.112731,0.131644,0.136347,0.157316
112,0.113113,0.131802,0.136686,0.157491
113,0.113097,0.132296,0.136960,0.157712
114,0.113143,0.132095,0.136972,0.158001
115,0.113290,0.132452,0.137229,0.157982
116,0.113484,0.132323,0.137505,0.158424
117,0.113662,0.132560,0.137610,0.158770
118,0.113451,0.132616,0.137790,0.158985
119,0.113697,0.132732,0.137495,0.159038
120,0.113896,0.132995,0.137781,0.159147
121,0.113889,0.133168,0.138040,0.159105
122,0.113920,0.133426,0.137791,0.159379
123,0.114008,0.134071,0.138113,0.159469
124,0.114168,0.134237,0.138229,0.159827
125,0.114321,0.134289,0.138279,0.159854
126,0.114324,0.134194,0.138137,0.159813
127,0.114513,0.134490,0.138442,0.159911
128,0.114781,0.134563,0.138339,0.160375
129,0.114686,0.134714,0.138404,0.160694
130,0.114838,0.134865,0.138447,0.160596
131,0.114989,0.135172,0.138286,0.160901
132,0.115138,0.135232,0.138597,0.161159
133,0.115150,0.135284,0.138840,0.161183
134,0.115238,0.135588,0.138918,0.161076
135,0.115262,0.135695,0.138932,0.161264
136,0.115318,0.135892,0.138806,0.161259
137,0.115384,0.135848,0.138774,0.161566
138,0.115583,0.135975,0.138804,0.161808
139,0.115553,0.136027,0.139094,0.161951
140,0.115462,0.136329,0.139141,0.162017
141,0.115792,0.136539,0.139069,0.161957
142,0.115798,0.136724,0.139190,0.161998
143,0.115809,0.136788,0.139100,0.162115
144,0.116113,0.137181,0.139362,0.162262
145,0.116210,0.137189,0.139532,0.162237
146,0.116046,0.137351,0.139447,0.162693
147,0.116009,0.137535,0.139583,0.162730
148,0.116328,0.137523,0.139706,0.163007
149,0.116398,0.137764,0.139718,0.162990
150,0.116462,0.137808,0.139532,0.163139
151,0.116516,0.137861,0.139582,0.163329
152,0.116589,0.138038,0.139632,0.163576
153,0.116630,0.138358,0.139751,0.163622
154,0.116738,0.138237,0.139938,0.163712
155,0.116607,0.138288,0.139997,0.163823
156,0.116721,0.138504,0.140147,0.163872
157,0.116777,0.138515,0.139996,0.164015
158,0.116953,0.138591,0.140104,0.164164
159,0.117073,0.138692,0.140128,0.164220
160,0.117151,0.138541,0.140163,0.164316
161,0.117158,0.138909,0.140366,0.164502
162,0.117348,0.138874,0.140244,0.164569
163,0.117275,0.139196,0.140366,0.164903
164,0.117247,0.139280,0.140468,0.165013
165,0.117303,0.139287,0.140424,0.165071
166,0.117526,0.139348,0.140575,0.165154
167,0.117633,0.139451,0.140630,0.165248
168,0.117660,0.139620,0.140727,0.165159
169,0.117646,0.139726,0.140644,0.165361
170,0.117561,0.139820,0.140880,0.165223
171,0.117733,0.139842,0.140848,0.165484
172,0.117773,0.139906,0.140741,0.165411
173,0.117876,0.139978,0.140830,0.165615
174,0.117842,0.140037,0.140765,0.165848
175,0.117899,0.140151,0.140726,0.165837
176,0.117851,0.140201,0.140819,0.165911
177,0.117876,0.140257,0.140912,0.165976
178,0.117970,0.140360,0.140888,0.166042
179,0.117945,0.140387,0.140997,0.166058
180,0.118057,0.140466,0.140932,0.166244
181,0.118232,0.140545,0.140943,0.166349
182,0.118308,0.140607,0.140927,0.166507
183,0.118313,0.140600,0.140871,0.166417
184,0.118327,0.140571,0.141056,0.166441
185,0.118327,0.140890,0.141092,0.166609
186,0.118341,0.140863,0.140956,0.166640
187,0.118500,0.141090,0.141054,0.166647
188,0.118513,0.140990,0.141060,0.166740
189,0.118411,0.140986,0.141056,0.166889
190,0.118474,0.141189,0.141047,0.166844
